iter	Passed	Remaining
0	24	4795
1	43	4351
2	71	4726
3	92	4548
4	111	4356
5	129	4194
6	148	4099
7	166	3999
8	184	3924
9	205	3902
10	224	3850
11	243	3819
12	262	3769
13	282	3755
14	306	3777
15	327	3771
16	349	3760
17	371	3759
18	390	3721
19	408	3678
20	425	3624
21	443	3590
22	461	3549
23	480	3520
24	500	3501
25	521	3490
26	540	3464
27	560	3440
28	578	3409
29	596	3382
30	614	3350
31	635	3334
32	654	3311
33	671	3276
34	688	3244
35	705	3215
36	724	3190
37	742	3163
38	759	3135
39	778	3112
40	796	3087
41	814	3064
42	831	3035
43	850	3014
44	868	2990
45	886	2967
46	903	2940
47	922	2922
48	940	2898
49	960	2880
50	978	2857
51	996	2837
52	1016	2818
53	1034	2796
54	1052	2775
55	1071	2754
56	1088	2730
57	1105	2707
58	1124	2687
59	1144	2671
60	1163	2650
61	1182	2633
62	1200	2611
63	1222	2598
64	1246	2587
65	1267	2573
66	1283	2547
67	1299	2522
68	1318	2502
69	1334	2478
70	1353	2459
71	1374	2443
72	1395	2427
73	1413	2407
74	1433	2389
75	1453	2371
76	1473	2353
77	1492	2334
78	1510	2314
79	1526	2289
80	1544	2268
81	1562	2248
82	1581	2228
83	1599	2209
84	1619	2191
85	1640	2174
86	1658	2154
87	1675	2132
88	1694	2113
89	1713	2093
90	1731	2073
91	1748	2052
92	1766	2032
93	1786	2014
94	1803	1993
95	1822	1974
96	1843	1957
97	1860	1936
98	1879	1917
99	1897	1897
100	1915	1877
101	1934	1858
102	1951	1837
103	1969	1818
104	1989	1799
105	2007	1780
106	2027	1761
107	2046	1743
108	2065	1724
109	2084	1705
110	2103	1686
111	2123	1668
112	2146	1652
113	2165	1633
114	2183	1613
115	2204	1596
116	2221	1576
117	2238	1555
118	2256	1536
119	2274	1516
120	2294	1497
121	2314	1480
122	2338	1463
123	2355	1443
124	2373	1423
125	2392	1405
126	2412	1386
127	2432	1368
128	2452	1349
129	2471	1330
130	2492	1312
131	2511	1293
132	2532	1275
133	2550	1256
134	2569	1237
135	2587	1217
136	2605	1198
137	2624	1179
138	2646	1161
139	2666	1142
140	2686	1124
141	2704	1104
142	2722	1085
143	2741	1065
144	2758	1046
145	2781	1028
146	2798	1009
147	2814	988
148	2832	969
149	2850	950
150	2870	931
151	2887	911
152	2906	892
153	2925	873
154	2949	856
155	2968	837
156	2990	819
157	3007	799
158	3028	780
159	3047	761
160	3065	742
161	3084	723
162	3102	704
163	3120	684
164	3139	666
165	3167	648
166	3200	632
167	3229	615
168	3259	597
169	3294	581
170	3326	564
171	3355	546
172	3387	528
173	3405	508
174	3423	489
175	3441	469
176	3460	449
177	3480	430
178	3500	410
179	3521	391
180	3539	371
181	3558	351
182	3576	332
183	3595	312
184	3613	293
185	3633	273
186	3652	253
187	3670	234
188	3687	214
189	3706	195
190	3724	175
191	3743	155
192	3761	136
193	3779	116
194	3797	97
195	3818	77
196	3836	58
197	3853	38
198	3872	19
199	3892	0
