iter	Passed	Remaining
0	3	3652
1	6	3099
2	9	3104
3	12	3186
4	15	3078
5	18	3024
6	20	2952
7	23	2908
8	25	2775
9	27	2709
10	31	2804
11	34	2881
12	36	2800
13	41	2906
14	45	2971
15	49	3017
16	53	3067
17	57	3114
18	60	3126
19	64	3152
20	68	3172
21	70	3125
22	72	3092
23	75	3078
24	77	3034
25	80	3020
26	83	2999
27	86	3020
28	90	3029
29	93	3023
30	95	2989
31	99	3001
32	101	2973
33	103	2943
34	106	2928
35	108	2917
36	111	2893
37	115	2928
38	118	2928
39	122	2928
40	124	2909
41	128	2929
42	131	2935
43	134	2926
44	136	2901
45	139	2899
46	142	2884
47	144	2871
48	147	2863
49	150	2857
50	152	2838
51	154	2820
52	158	2823
53	160	2813
54	163	2807
55	165	2786
56	168	2784
57	170	2768
58	174	2777
59	176	2760
60	179	2770
61	182	2754
62	186	2774
63	188	2763
64	191	2748
65	194	2753
66	197	2745
67	199	2738
68	202	2728
69	204	2711
70	206	2698
71	208	2685
72	212	2694
73	214	2689
74	217	2686
75	220	2680
76	221	2659
77	223	2647
78	227	2656
79	231	2657
80	234	2665
81	239	2677
82	243	2688
83	246	2686
84	250	2698
85	254	2704
86	257	2701
87	260	2696
88	263	2701
89	267	2703
90	269	2692
91	272	2690
92	275	2685
93	277	2676
94	280	2673
95	284	2675
96	286	2670
97	290	2676
98	293	2669
99	295	2662
100	298	2658
101	301	2655
102	304	2648
103	307	2650
104	311	2654
105	314	2650
106	317	2649
107	319	2642
108	322	2632
109	324	2624
110	327	2620
111	329	2613
112	332	2606
113	334	2596
114	336	2593
115	339	2588
116	343	2589
117	346	2587
118	348	2581
119	350	2571
120	352	2562
121	355	2558
122	358	2554
123	360	2548
124	362	2540
125	365	2537
126	368	2531
127	372	2535
128	375	2532
129	377	2526
130	379	2519
131	383	2522
132	387	2527
133	391	2530
134	393	2523
135	395	2515
136	398	2507
137	401	2510
138	405	2510
139	407	2502
140	409	2494
141	411	2489
142	414	2486
143	417	2482
144	420	2482
145	423	2476
146	425	2468
147	427	2462
148	430	2458
149	434	2459
150	436	2454
151	438	2447
152	442	2450
153	445	2449
154	448	2447
155	452	2447
156	456	2449
157	459	2448
158	461	2442
159	463	2435
160	466	2430
161	468	2425
162	473	2429
163	477	2432
164	479	2425
165	482	2422
166	485	2419
167	487	2414
168	490	2409
169	492	2403
170	495	2400
171	499	2404
172	502	2404
173	506	2404
174	510	2406
175	513	2402
176	516	2403
177	520	2402
178	524	2404
179	526	2398
180	530	2398
181	533	2396
182	536	2395
183	539	2393
184	543	2394
185	548	2398
186	551	2399
187	556	2404
188	560	2404
189	563	2401
190	566	2398
191	569	2395
192	573	2396
193	577	2399
194	580	2395
195	582	2389
196	586	2390
197	589	2387
198	593	2387
199	595	2382
200	598	2378
201	600	2371
202	602	2365
203	604	2360
204	608	2358
205	611	2356
206	614	2354
207	618	2353
208	620	2349
209	623	2344
210	626	2343
211	629	2339
212	633	2339
213	637	2342
214	643	2348
215	646	2348
216	649	2343
217	653	2345
218	658	2347
219	661	2344
220	665	2344
221	668	2342
222	670	2336
223	674	2337
224	679	2339
225	680	2331
226	683	2326
227	685	2320
228	687	2314
229	689	2309
230	693	2308
231	695	2302
232	698	2298
233	701	2295
234	703	2289
235	706	2287
236	710	2288
237	714	2286
238	716	2281
239	718	2275
240	720	2269
241	723	2265
242	726	2263
243	729	2259
244	731	2255
245	734	2250
246	736	2245
247	738	2240
248	741	2235
249	743	2230
250	746	2226
251	749	2225
252	753	2224
253	757	2224
254	762	2227
255	764	2221
256	766	2217
257	770	2215
258	772	2209
259	775	2207
260	778	2203
261	780	2198
262	783	2196
263	787	2195
264	790	2193
265	793	2189
266	796	2187
267	799	2183
268	802	2181
269	806	2179
270	808	2175
271	811	2171
272	814	2168
273	816	2163
274	819	2161
275	823	2161
276	826	2156
277	828	2151
278	831	2149
279	835	2149
280	838	2145
281	842	2143
282	844	2139
283	848	2139
284	852	2138
285	855	2136
286	858	2132
287	860	2128
288	864	2125
289	865	2119
290	868	2115
291	870	2110
292	873	2107
293	876	2103
294	878	2098
295	881	2095
296	885	2095
297	887	2091
298	890	2087
299	892	2083
300	895	2079
301	897	2074
302	899	2070
303	902	2066
304	904	2061
305	906	2056
306	908	2051
307	911	2047
308	914	2044
309	917	2042
310	920	2038
311	922	2034
312	924	2029
313	926	2025
314	929	2022
315	932	2019
316	935	2015
317	936	2008
318	939	2006
319	943	2003
320	946	2001
321	948	1997
322	951	1994
323	953	1990
324	956	1986
325	958	1982
326	961	1979
327	964	1975
328	968	1974
329	971	1973
330	975	1971
331	978	1969
332	982	1967
333	984	1963
334	987	1959
335	989	1956
336	994	1955
337	996	1952
338	999	1948
339	1001	1944
340	1004	1940
341	1008	1939
342	1012	1938
343	1016	1938
344	1020	1937
345	1025	1938
346	1029	1938
347	1032	1934
348	1036	1933
349	1038	1929
350	1042	1927
351	1045	1924
352	1047	1920
353	1051	1918
354	1054	1916
355	1058	1915
356	1062	1913
357	1066	1912
358	1070	1911
359	1074	1910
360	1078	1909
361	1082	1908
362	1087	1907
363	1090	1906
364	1094	1904
365	1097	1900
366	1099	1896
367	1102	1893
368	1105	1889
369	1107	1886
370	1110	1882
371	1113	1879
372	1115	1875
373	1118	1871
374	1120	1867
375	1123	1864
376	1125	1859
377	1127	1855
378	1129	1850
379	1132	1847
380	1134	1843
381	1138	1841
382	1142	1840
383	1144	1836
384	1146	1832
385	1149	1829
386	1152	1826
387	1155	1822
388	1159	1820
389	1162	1818
390	1164	1814
391	1170	1814
392	1174	1813
393	1177	1810
394	1181	1809
395	1185	1807
396	1188	1805
397	1192	1803
398	1196	1801
399	1200	1801
400	1203	1797
401	1207	1795
402	1211	1794
403	1213	1789
404	1216	1786
405	1219	1784
406	1222	1780
407	1224	1777
408	1227	1773
409	1230	1770
410	1233	1767
411	1236	1765
412	1239	1762
413	1243	1760
414	1246	1757
415	1250	1755
416	1253	1753
417	1258	1752
418	1261	1749
419	1264	1746
420	1268	1744
421	1271	1742
422	1275	1740
423	1278	1737
424	1281	1733
425	1285	1732
426	1288	1729
427	1291	1726
428	1294	1722
429	1296	1718
430	1299	1715
431	1303	1713
432	1304	1708
433	1306	1704
434	1309	1700
435	1311	1696
436	1315	1694
437	1318	1691
438	1323	1691
439	1327	1689
440	1330	1686
441	1334	1685
442	1338	1683
443	1343	1682
444	1347	1680
445	1351	1678
446	1353	1674
447	1357	1672
448	1360	1669
449	1362	1665
450	1365	1661
451	1367	1657
452	1370	1654
453	1372	1650
454	1374	1646
455	1377	1643
456	1380	1640
457	1383	1637
458	1385	1633
459	1389	1631
460	1392	1627
461	1394	1623
462	1397	1620
463	1400	1617
464	1402	1613
465	1404	1609
466	1408	1607
467	1412	1605
468	1414	1601
469	1418	1599
470	1422	1597
471	1424	1593
472	1427	1590
473	1430	1587
474	1432	1583
475	1436	1581
476	1439	1578
477	1442	1574
478	1443	1570
479	1447	1567
480	1449	1563
481	1452	1560
482	1455	1557
483	1458	1554
484	1460	1550
485	1462	1546
486	1467	1545
487	1471	1543
488	1473	1540
