iter	Logloss
0	0.687577662
1	0.6808338639
2	0.6752951413
3	0.6696419852
4	0.6643296649
5	0.6590687985
6	0.6529134059
7	0.647217649
8	0.6417265931
9	0.6367648267
10	0.63139394
11	0.6266064508
12	0.6229020785
13	0.6173628874
14	0.6126341457
15	0.6073601546
16	0.6016422641
17	0.5975168409
18	0.5927104684
19	0.5881611917
20	0.5833358531
21	0.5794764263
22	0.5754157101
23	0.5710937486
24	0.5673120028
25	0.5634398929
26	0.5603901072
27	0.5558464302
28	0.551595658
29	0.5473723095
30	0.5433857031
31	0.5398968554
32	0.5363539759
33	0.5330891537
34	0.5296259663
35	0.5259160176
36	0.5222474897
37	0.5191018103
38	0.5159893933
39	0.5127832998
40	0.5101339914
41	0.5068749542
42	0.503330455
43	0.5005567626
44	0.4980284308
45	0.4949233208
46	0.4913679472
47	0.4878492085
48	0.4847635991
49	0.4818442017
50	0.4790916909
51	0.4762329774
52	0.4729244449
53	0.4699781841
54	0.4669314025
55	0.4650413291
56	0.4624861907
57	0.4601888665
58	0.4575738537
59	0.4549492629
60	0.4522088446
61	0.4496600428
62	0.4475234958
63	0.4452129856
64	0.443030859
65	0.4401231026
66	0.4380452062
67	0.4351287278
68	0.4323943825
69	0.4310081424
70	0.4286335883
71	0.4266915056
72	0.4244358274
73	0.4223635967
74	0.4199435927
75	0.4179736579
76	0.4165623237
77	0.4146133803
78	0.4123895967
79	0.4104024469
80	0.4084443587
81	0.4067346465
82	0.4045606706
83	0.402844388
84	0.4006919654
85	0.3988342064
86	0.3967005463
87	0.3954780251
88	0.3938867654
89	0.3920641428
90	0.3902411571
91	0.3888696507
92	0.3873703433
93	0.3855124273
94	0.3840634164
95	0.3823265651
96	0.3805959027
97	0.3789756491
98	0.3774096729
99	0.3757023698
100	0.3741824158
101	0.3728260051
102	0.3711645211
103	0.3696597713
104	0.3683833939
105	0.3668355095
106	0.3655525127
107	0.3642423136
108	0.363237491
109	0.3619859485
110	0.3610591888
111	0.3598590356
112	0.3582081348
113	0.3567300472
114	0.3553972577
115	0.354282204
116	0.3527431328
117	0.3514019658
118	0.350284045
119	0.3489194009
120	0.3474551874
121	0.3467411989
122	0.345125134
123	0.343922611
124	0.3428666044
125	0.3415714027
126	0.3404095817
127	0.3391283175
128	0.3382213538
129	0.3367869357
130	0.3356473368
131	0.3343852741
132	0.3335150398
133	0.3324035112
134	0.3312425471
135	0.3301452729
136	0.3292694452
137	0.328405368
138	0.3275053124
139	0.3265255953
140	0.3253584193
141	0.3243390035
142	0.3235349503
143	0.3223927327
144	0.3215302586
145	0.3209567935
146	0.3201165811
147	0.3191371025
148	0.3182014115
149	0.3172738283
150	0.3164293136
151	0.3156394081
152	0.3148770569
153	0.3136917373
154	0.3129407224
155	0.3120864531
156	0.3113664562
157	0.3101771839
158	0.309808077
159	0.3090010238
160	0.3081213393
161	0.3072182727
162	0.3061643832
163	0.3054478465
164	0.3047869317
165	0.3039551996
166	0.3032512431
167	0.3022737533
168	0.3015260832
169	0.3007720553
170	0.2998956567
171	0.2991256849
172	0.2982532127
173	0.2971980852
174	0.2964109377
175	0.295662568
176	0.2948454714
177	0.2938593462
178	0.2930242149
179	0.2923015531
180	0.2915864078
181	0.2909214413
182	0.2903972686
183	0.2897652718
184	0.2892852754
185	0.2886958968
186	0.2880026242
187	0.2873985865
188	0.2868802985
189	0.2861885247
190	0.2855231594
