iter	Passed	Remaining
408	5041	7285
409	5053	7272
410	5065	7259
411	5076	7245
412	5088	7231
413	5099	7218
414	5115	7211
415	5128	7199
416	5140	7186
417	5153	7175
418	5165	7162
419	5177	7149
420	5189	7137
421	5203	7126
422	5214	7112
423	5226	7099
424	5238	7086
425	5249	7072
426	5261	7059
427	5274	7048
428	5287	7037
429	5299	7025
430	5314	7015
431	5326	7003
432	5338	6990
433	5350	6977
434	5361	6964
435	5374	6952
436	5385	6938
437	5397	6925
438	5408	6911
439	5420	6899
440	5433	6886
441	5445	6874
442	5456	6860
443	5475	6856
444	5489	6846
445	5501	6833
446	5513	6820
447	5525	6807
448	5536	6794
449	5551	6785
450	5562	6771
451	5574	6758
452	5586	6745
453	5598	6732
454	5610	6720
455	5623	6708
456	5635	6696
457	5648	6684
458	5660	6671
459	5672	6659
460	5684	6646
461	5697	6634
462	5709	6621
463	5720	6608
464	5732	6595
465	5744	6582
466	5755	6569
467	5767	6556
468	5779	6543
469	5791	6530
470	5803	6517
471	5814	6504
472	5826	6491
473	5840	6481
474	5853	6469
475	5865	6457
476	5877	6443
477	5889	6431
478	5900	6418
479	5912	6404
480	5923	6391
481	5935	6378
482	5947	6366
483	5959	6353
484	5971	6340
485	5982	6327
486	5994	6314
487	6006	6301
488	6018	6289
489	6031	6277
490	6043	6264
491	6054	6251
492	6066	6238
493	6078	6225
494	6090	6213
495	6101	6200
496	6113	6187
497	6125	6174
498	6136	6161
499	6148	6148
500	6160	6135
501	6172	6122
502	6183	6109
503	6195	6097
504	6208	6085
505	6220	6073
506	6231	6059
507	6243	6046
508	6254	6033
509	6266	6020
510	6279	6008
511	6291	5996
512	6304	5984
513	6316	5972
514	6327	5959
515	6340	5947
516	6353	5935
517	6365	5922
518	6376	5909
519	6388	5897
520	6400	5884
521	6412	5871
522	6424	5859
523	6435	5846
524	6447	5833
525	6459	5820
526	6472	5809
527	6483	5795
528	6495	5782
529	6506	5769
530	6518	5757
531	6530	5745
532	6542	5732
533	6554	5719
534	6568	5708
535	6581	5697
536	6594	5685
537	6606	5673
538	6618	5660
539	6629	5647
540	6641	5634
541	6652	5621
542	6665	5609
543	6676	5596
544	6688	5583
545	6699	5570
546	6711	5558
547	6723	5545
548	6734	5532
549	6747	5520
550	6759	5508
551	6771	5495
552	6783	5483
553	6795	5471
554	6807	5458
555	6819	5445
556	6830	5432
557	6842	5419
558	6853	5406
559	6864	5393
560	6876	5381
561	6889	5369
562	6900	5356
563	6912	5343
564	6931	5336
565	6942	5323
566	6955	5311
567	6967	5298
568	6978	5286
569	6990	5273
570	7002	5260
571	7014	5248
572	7025	5235
573	7037	5222
574	7049	5210
575	7064	5200
576	7076	5187
577	7088	5175
578	7102	5164
579	7116	5153
580	7130	5142
581	7143	5130
582	7155	5118
583	7169	5106
584	7181	5094
585	7193	5082
586	7205	5069
587	7219	5058
588	7232	5046
589	7243	5033
590	7257	5022
591	7270	5010
592	7282	4998
593	7296	4987
594	7310	4975
595	7324	4965
596	7337	4952
597	7349	4940
598	7362	4928
599	7374	4916
600	7386	4903
601	7398	4891
602	7410	4879
603	7426	4869
604	7438	4856
605	7451	4844
606	7464	4832
607	7478	4821
608	7492	4810
609	7505	4798
610	7517	4786
611	7536	4778
612	7550	4766
613	7563	4754
614	7576	4743
615	7588	4730
616	7600	4718
617	7612	4705
618	7626	4693
619	7637	4681
620	7649	4668
621	7662	4656
622	7675	4644
623	7687	4631
624	7699	4619
